Dataset,Training_Release,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,Feature_Selection,TP,FP,TN,FN,Precision,Recall,ROC_Area,Kappa
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Naive Bayes,Smote,CFS with Best First,10,68,349,12,0.1282051282051282,0.45454545454545453,0.7081970787006758,0.1321538005337551
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Naive Bayes,No sampling,Wrapper with Best First,9,65,352,13,0.12162162162162163,0.4090909090909091,0.7207870067582298,0.11947130220119276
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Naive Bayes,Oversampling,Wrapper with Best First,11,74,343,11,0.12941176470588237,0.5,0.7291802921299324,0.13688617491268223
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Naive Bayes,Undersampling,Wrapper with Best First,10,66,351,12,0.13157894736842105,0.45454545454545453,0.7127752343579682,0.1370028731286855
BOOKKEEPER,2,0.17406692406692406,0.3290203327171904,0.05011389521640091,Naive Bayes,Smote,Wrapper with Best First,10,71,346,12,0.12345679012345678,0.45454545454545453,0.7184434270765206,0.12522507382421416
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,Random Forest,No sampling,No selection,1,3,366,69,0.25,0.014285714285714285,0.533894696089818,0.009960533734260705
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,Random Forest,Oversampling,No selection,1,3,366,69,0.25,0.014285714285714285,0.5177700348432056,0.009960533734260705
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,Random Forest,Undersampling,No selection,1,3,366,69,0.25,0.014285714285714285,0.5935540069686411,0.009960533734260705
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,Random Forest,Smote,No selection,1,3,366,69,0.25,0.014285714285714285,0.528319783197832,0.009960533734260705
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,Random Forest,No sampling,CFS with Best First,1,2,367,69,0.3333333333333333,0.014285714285714285,0.6847657762291909,0.014481297625446945
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,Random Forest,Oversampling,CFS with Best First,3,5,364,67,0.375,0.04285714285714286,0.6384436701509872,0.04570980013284263
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,Random Forest,Undersampling,CFS with Best First,2,5,364,68,0.2857142857142857,0.02857142857142857,0.6575300038714673,0.023641958382841836
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,Random Forest,Smote,CFS with Best First,2,5,364,68,0.2857142857142857,0.02857142857142857,0.6536778939217963,0.023641958382841836
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,IBk,No sampling,No selection,1,3,366,69,0.25,0.014285714285714285,0.6642857142857143,0.009960533734260705
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,IBk,Oversampling,No selection,1,3,366,69,0.25,0.014285714285714285,0.6267324816105304,0.009960533734260705
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,IBk,Undersampling,No selection,1,3,366,69,0.25,0.014285714285714285,0.6257065427797135,0.009960533734260705
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,IBk,Smote,No selection,1,3,366,69,0.25,0.014285714285714285,0.5999419279907084,0.009960533734260705
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,IBk,No sampling,CFS with Best First,1,5,364,69,0.16666666666666666,0.014285714285714285,0.6590205187766164,0.0011683679744182514
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,IBk,Oversampling,CFS with Best First,4,8,361,66,0.3333333333333333,0.05714285714285714,0.5314750290360046,0.053383064281135234
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,IBk,Undersampling,CFS with Best First,1,6,363,69,0.14285714285714285,0.014285714285714285,0.5820557491289199,-0.003107577003930253
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,IBk,Smote,CFS with Best First,1,5,364,69,0.16666666666666666,0.014285714285714285,0.6009485094850948,0.0011683679744182514
BOOKKEEPER,3,0.3153153153153153,0.20408163265306123,0.15945330296127563,Naive Bayes,Oversampling,No selection,1,1,368,69,0.5,0.014285714285714285,0.702710027100271,0.019088355464760398
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Random Forest,No sampling,No selection,34,0,142,413,1.0,0.07606263982102908,0.6370718719475691,0.03817913669918112
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Random Forest,Oversampling,No selection,97,19,123,350,0.8362068965517241,0.21700223713646533,0.655591265715096,0.04634427804811698
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Random Forest,Undersampling,No selection,81,13,129,366,0.8617021276595744,0.18120805369127516,0.6433421558433374,0.04851393571541219
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Random Forest,Smote,No selection,78,15,127,369,0.8387096774193549,0.174496644295302,0.645595046790812,0.037212984956452894
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Random Forest,No sampling,CFS with Best First,53,2,140,394,0.9636363636363636,0.1185682326621924,0.6014194788417305,0.05380758433803366
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Random Forest,Oversampling,CFS with Best First,124,20,122,323,0.8611111111111112,0.27740492170022374,0.6151258783123799,0.07902882436874037
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Random Forest,Undersampling,CFS with Best First,110,16,126,337,0.873015873015873,0.24608501118568232,0.6252560103349403,0.07532032038709736
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Random Forest,Smote,CFS with Best First,96,15,127,351,0.8648648648648649,0.21476510067114093,0.6232630683429435,0.06038495737224757
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Random Forest,Oversampling,Wrapper with Best First,15,2,140,432,0.8823529411764706,0.03355704697986577,0.33448341053029584,0.009577757285992118
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Random Forest,Undersampling,Wrapper with Best First,16,3,139,431,0.8421052631578947,0.035794183445190156,0.3390994738002962,0.007231404958677684
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Random Forest,Smote,Wrapper with Best First,21,2,140,426,0.9130434782608695,0.04697986577181208,0.35507451870057033,0.01629544071050621
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,IBk,No sampling,No selection,53,2,140,394,0.9636363636363636,0.1185682326621924,0.5905016227116615,0.05380758433803366
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,IBk,Oversampling,No selection,129,17,125,318,0.8835616438356164,0.28859060402684567,0.6092415792292908,0.09800094170137098
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,IBk,Undersampling,No selection,114,14,128,333,0.890625,0.2550335570469799,0.6209786684311687,0.08856463746917408
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,IBk,Smote,No selection,114,18,124,333,0.8636363636363636,0.2550335570469799,0.6178435264832844,0.07301489084085495
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,IBk,No sampling,CFS with Best First,63,2,140,384,0.9692307692307692,0.14093959731543623,0.5945977880707061,0.06614693294120542
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,IBk,Oversampling,CFS with Best First,135,23,119,312,0.8544303797468354,0.30201342281879195,0.5978432113936415,0.08265262002947563
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,IBk,Undersampling,CFS with Best First,126,16,126,321,0.8873239436619719,0.28187919463087246,0.6230425055928411,0.09764834775176955
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,IBk,Smote,CFS with Best First,128,16,126,319,0.8888888888888888,0.28635346756152125,0.6295806156851624,0.10050920164293888
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,IBk,No sampling,Wrapper with Best First,0,1,141,447,0.0,0.0,0.4895232693701358,-0.003399523914547959
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,IBk,Oversampling,Wrapper with Best First,2,1,141,445,0.6666666666666666,0.0044742729306487695,0.4938321202382078,-0.0012425295767776764
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,IBk,Undersampling,Wrapper with Best First,0,1,141,447,0.0,0.0,0.4939817878186344,-0.003399523914547959
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Naive Bayes,No sampling,No selection,41,0,142,406,1.0,0.09172259507829977,0.6718577685351482,0.046431505155954685
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Naive Bayes,Oversampling,No selection,51,1,141,396,0.9807692307692307,0.11409395973154363,0.6785928096543467,0.05492617905368546
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Naive Bayes,Undersampling,No selection,52,1,141,395,0.9811320754716981,0.116331096196868,0.6780098938147903,0.05614321902896591
