Dataset,Training_Release,%Training,%Defective_training,%Defective_testing,Classifier,Feature_Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,ROC_Area,Kappa
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,CFS with Best First,No sampling,No sensitive,34,48,176,43,0.4146341463414634,0.44155844155844154,0.6161294063079777,0.2225312934631433
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,CFS with Best First,No sampling,Sensitive threshold,34,48,176,43,0.4146341463414634,0.44155844155844154,0.6161294063079777,0.2225312934631433
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,CFS with Best First,No sampling,Sensitive learning,34,48,176,43,0.4146341463414634,0.44155844155844154,0.6136363636363636,0.2225312934631433
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,CFS with Best First,Oversampling,No sensitive,51,82,142,26,0.38345864661654133,0.6623376623376623,0.6434948979591837,0.23918741808650057
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,CFS with Best First,Oversampling,Sensitive threshold,39,47,177,38,0.45348837209302323,0.5064935064935064,0.5914308905380334,0.28571428571428586
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,CFS with Best First,Oversampling,Sensitive learning,51,82,142,26,0.38345864661654133,0.6623376623376623,0.6481331168831169,0.23918741808650057
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,CFS with Best First,Undersampling,No sensitive,47,66,158,30,0.415929203539823,0.6103896103896104,0.6350301484230055,0.2737508796622098
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,CFS with Best First,Undersampling,Sensitive threshold,53,155,69,24,0.2548076923076923,0.6883116883116883,0.5211908627087198,-0.002344055215522855
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,CFS with Best First,Undersampling,Sensitive learning,47,66,158,30,0.415929203539823,0.6103896103896104,0.6578733766233766,0.2737508796622098
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,CFS with Best First,Smote,No sensitive,46,89,135,31,0.34074074074074073,0.5974025974025974,0.6083024118738405,0.16042954767328355
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,CFS with Best First,Smote,Sensitive threshold,31,38,186,46,0.4492753623188406,0.4025974025974026,0.6216372912801484,0.24117647058823524
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,CFS with Best First,Smote,Sensitive learning,46,89,135,31,0.34074074074074073,0.5974025974025974,0.6000405844155844,0.16042954767328355
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,Wrapper with Best First,No sampling,No sensitive,44,68,156,33,0.39285714285714285,0.5714285714285714,0.6321022727272727,0.23309200070633934
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,Wrapper with Best First,No sampling,Sensitive threshold,44,68,156,33,0.39285714285714285,0.5714285714285714,0.6321022727272727,0.23309200070633934
