Version ID,Version Name,File,LOC,LOCAdded,AVGLocAdded,MaxLocAdded,LocTouched,Churn,maxChurn,avgChurn,NumAuthors,NunRev,Bugginess
1,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,137,167,41,159,174,160,159,40,2,4,Yes
1,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,30,41,20,36,46,36,36,18,2,2,Yes
1,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,49,60,30,57,62,58,57,29,2,2,No
1,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,52,62,62,62,62,62,62,62,1,1,No
1,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,106,142,35,129,154,130,129,32,2,4,Yes
1,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,63,76,38,73,78,74,73,37,2,2,Yes
1,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,72,86,28,82,89,83,82,27,2,3,No
1,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,61,74,74,74,74,74,74,74,1,1,No
1,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,42,50,25,48,52,48,48,24,2,2,No
1,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,52,61,30,60,62,60,60,30,2,2,No
1,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,62,76,25,70,82,70,70,23,2,3,No
1,4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,166,202,50,180,221,183,180,45,2,4,Yes
